"donorID","visitNum","subproject","cell_count"
"1","0","P697-1",2603
"1","12","P697-1",2467
"1","5","P697-1",2335
"1","8","P697-1",1914
"2","10","P697-2",1812
"2","12","P697-2",1650
"2","5","P697-2",1761
"3","0","P697-1",2856
"3","10","P697-1",1862
"3","12","P697-1",2941
"3","5","P697-1",3011
"5","0","P697-1",2449
"5","10","P697-1",1591
"5","12","P697-1",2371
"5","5","P697-1",2117
"6","0","P697-2",558
"6","10","P697-2",580
"6","12","P697-2",600
"6","5","P697-2",622
"7","0","P697-2",2466
"7","10","P697-2",2175
"7","12","P697-2",2676
"7","5","P697-2",2372
"8","0","P697-1",4006
"8","10","P697-1",2376
"8","12","P697-1",3690
"8","5","P697-1",2935
"9","0","P697-2",3298
"9","10","P697-2",867
"9","12","P697-2",3140
"9","4","P697-2",2893
