"htDemux","project","count"
"Multiplet","P697-1",4543
"Negative","P697-1",3626
"Subject 006-0","P697-1",0
"Subject 006-10","P697-1",0
"Subject 006-12","P697-1",0
"Subject 006-5","P697-1",0
"Subject 007-0","P697-1",0
"Subject 007-10","P697-1",0
"Subject 007-12","P697-1",0
"Subject 007-5","P697-1",0
"Subject 009-0","P697-1",0
"Subject 009-10","P697-1",0
"Subject 009-12","P697-1",0
"Subject 009-4","P697-1",0
"Subject-001-0","P697-1",2618
"Subject-001-12","P697-1",2481
"Subject-001-5","P697-1",2351
"Subject-001-8","P697-1",1925
"Subject-003-0","P697-1",2877
"Subject-003-10","P697-1",1877
"Subject-003-12","P697-1",2967
"Subject-003-5","P697-1",3023
"Subject-005-0","P697-1",2457
"Subject-005-10","P697-1",1595
"Subject-005-12","P697-1",2384
"Subject-005-5","P697-1",2121
"Subject-008-0","P697-1",4028
"Subject-008-10","P697-1",2390
"Subject-008-12","P697-1",3714
"Subject-008-5","P697-1",2941
"Subject002-10","P697-1",0
"Subject002-12","P697-1",0
"Subject002-5","P697-1",0
"Multiplet","P697-2",1798
"Negative","P697-2",2605
"Subject 006-0","P697-2",564
"Subject 006-10","P697-2",585
"Subject 006-12","P697-2",602
"Subject 006-5","P697-2",627
"Subject 007-0","P697-2",2471
"Subject 007-10","P697-2",2181
"Subject 007-12","P697-2",2678
"Subject 007-5","P697-2",2374
"Subject 009-0","P697-2",3316
"Subject 009-10","P697-2",874
"Subject 009-12","P697-2",3182
"Subject 009-4","P697-2",2899
"Subject-001-0","P697-2",0
"Subject-001-12","P697-2",0
"Subject-001-5","P697-2",0
"Subject-001-8","P697-2",0
"Subject-003-0","P697-2",0
"Subject-003-10","P697-2",0
"Subject-003-12","P697-2",0
"Subject-003-5","P697-2",0
"Subject-005-0","P697-2",0
"Subject-005-10","P697-2",0
"Subject-005-12","P697-2",0
"Subject-005-5","P697-2",0
"Subject-008-0","P697-2",0
"Subject-008-10","P697-2",0
"Subject-008-12","P697-2",0
"Subject-008-5","P697-2",0
"Subject002-10","P697-2",1825
"Subject002-12","P697-2",1661
"Subject002-5","P697-2",1763
